"Date","Price","Open","High","Low","Change %"
"08/06/2021","0.774","0.729","0.777","0.727","6.67%"
"08/05/2021","0.726","0.678","0.732","0.671","7.59%"
"08/04/2021","0.674","0.652","0.697","0.606","4.20%"
"08/03/2021","0.647","0.657","0.671","0.633","-1.22%"
"08/02/2021","0.655","0.698","0.700","0.636","-5.51%"
"07/30/2021","0.693","0.729","0.730","0.690","-5.25%"
"07/29/2021","0.732","0.717","0.749","0.711","2.46%"
"07/28/2021","0.714","0.714","0.762","0.701","1.75%"
"07/27/2021","0.702","0.720","0.723","0.684","-3.33%"
"07/26/2021","0.726","0.715","0.728","0.676","1.79%"
"07/23/2021","0.713","0.722","0.741","0.709","-0.93%"
"07/22/2021","0.720","0.735","0.756","0.694","-2.40%"
"07/21/2021","0.738","0.688","0.741","0.659","7.71%"
"07/20/2021","0.685","0.715","0.717","0.631","-3.18%"
"07/19/2021","0.707","0.759","0.770","0.669","-9.47%"
"07/16/2021","0.781","0.780","0.818","0.773","0.19%"
"07/15/2021","0.780","0.794","0.809","0.766","-1.83%"
"07/14/2021","0.794","0.846","0.851","0.793","-6.09%"
"07/13/2021","0.846","0.793","0.854","0.782","6.47%"
"07/12/2021","0.795","0.785","0.811","0.766","1.02%"
"07/09/2021","0.787","0.752","0.790","0.750","6.01%"
"07/08/2021","0.742","0.780","0.790","0.726","-5.50%"
"07/07/2021","0.785","0.803","0.819","0.777","-1.42%"
"07/06/2021","0.797","0.862","0.872","0.789","-7.45%"
"07/05/2021","0.861","0.859","0.861","0.859","0.19%"
"07/02/2021","0.859","0.902","0.925","0.857","-3.76%"
"07/01/2021","0.893","0.893","0.912","0.883","0.18%"
"06/30/2021","0.891","0.891","0.897","0.869","0.00%"
"06/29/2021","0.891","0.899","0.920","0.889","-0.89%"
"06/28/2021","0.899","0.925","0.926","0.891","-2.78%"
"06/25/2021","0.925","0.913","0.939","0.897","1.06%"
"06/24/2021","0.915","0.899","0.917","0.888","4.01%"
"06/23/2021","0.880","0.854","0.886","0.845","2.66%"
"06/22/2021","0.857","0.888","0.904","0.852","-3.47%"
"06/21/2021","0.888","0.883","0.925","0.840","1.31%"
"06/18/2021","0.876","0.892","0.962","0.847","-0.53%"
"06/17/2021","0.881","0.910","0.912","0.866","-1.79%"
"06/16/2021","0.897","0.784","0.913","0.772","15.15%"
"06/15/2021","0.779","0.784","0.792","0.771","-1.02%"
"06/14/2021","0.787","0.750","0.789","0.745","5.84%"
"06/11/2021","0.744","0.720","0.752","0.707","3.81%"
"06/10/2021","0.716","0.750","0.797","0.713","-4.49%"
"06/09/2021","0.750","0.774","0.776","0.724","-3.31%"
"06/08/2021","0.776","0.795","0.797","0.755","-2.22%"
"06/07/2021","0.793","0.790","0.804","0.787","1.65%"
"06/04/2021","0.780","0.843","0.851","0.779","-7.06%"
"06/03/2021","0.840","0.793","0.845","0.792","5.65%"
"06/02/2021","0.795","0.811","0.814","0.788","-1.00%"
"06/01/2021","0.803","0.806","0.827","0.801","-0.58%"
"05/31/2021","0.808","0.811","0.811","0.808","2.44%"
"05/28/2021","0.788","0.819","0.828","0.787","-3.15%"
"05/27/2021","0.814","0.801","0.832","0.795","4.03%"
"05/26/2021","0.782","0.776","0.790","0.769","1.05%"
"05/25/2021","0.774","0.805","0.808","0.768","-3.62%"
"05/24/2021","0.803","0.821","0.825","0.802","-2.17%"
"05/21/2021","0.821","0.820","0.833","0.807","0.81%"
"05/20/2021","0.815","0.858","0.863","0.813","-5.27%"
"05/19/2021","0.860","0.819","0.873","0.802","4.94%"
"05/18/2021","0.819","0.836","0.839","0.816","-1.93%"
"05/17/2021","0.836","0.819","0.837","0.790","2.18%"
"05/14/2021","0.818","0.832","0.834","0.803","-1.35%"
"05/13/2021","0.829","0.868","0.871","0.824","-4.11%"
"05/12/2021","0.864","0.806","0.869","0.793","7.86%"
"05/11/2021","0.801","0.782","0.808","0.772","2.05%"
"05/10/2021","0.785","0.774","0.789","0.755","1.45%"
"05/07/2021","0.774","0.801","0.811","0.716","-3.59%"
"05/06/2021","0.803","0.803","0.806","0.784","1.02%"
"05/05/2021","0.795","0.821","0.845","0.792","-2.94%"
"05/04/2021","0.819","0.830","0.846","0.792","-0.78%"
"05/03/2021","0.825","0.856","0.872","0.816","-2.83%"
"04/30/2021","0.849","0.870","0.883","0.846","-2.02%"
"04/29/2021","0.867","0.854","0.909","0.852","1.69%"
"04/28/2021","0.852","0.880","0.909","0.852","-3.27%"
"04/27/2021","0.881","0.851","0.885","0.848","6.03%"
"04/26/2021","0.831","0.820","0.844","0.815","1.80%"
"04/23/2021","0.816","0.800","0.828","0.784","2.87%"
"04/22/2021","0.794","0.795","0.829","0.779","-0.81%"
"04/21/2021","0.800","0.798","0.813","0.782","0.21%"
"04/20/2021","0.798","0.827","0.852","0.790","-4.27%"
"04/19/2021","0.834","0.824","0.858","0.805","-0.38%"
"04/16/2021","0.837","0.811","0.840","0.808","2.59%"
"04/15/2021","0.816","0.864","0.868","0.792","-5.06%"
"04/14/2021","0.860","0.837","0.874","0.834","2.50%"
"04/13/2021","0.839","0.889","0.913","0.835","-5.29%"
"04/12/2021","0.885","0.881","0.898","0.853","2.25%"
"04/09/2021","0.866","0.842","0.903","0.837","3.28%"
"04/08/2021","0.838","0.867","0.869","0.834","-4.05%"
"04/07/2021","0.874","0.875","0.883","0.843","0.39%"
"04/06/2021","0.870","0.925","0.937","0.866","-6.42%"
"04/05/2021","0.930","0.961","0.988","0.924","2.66%"
"04/02/2021","0.906","0.903","0.980","0.903","0.00%"
"04/01/2021","0.906","0.934","0.947","0.890","-3.40%"
"03/31/2021","0.938","0.905","0.944","0.902","4.32%"
"03/30/2021","0.899","0.889","0.951","0.885","0.72%"
