"Date","Price","Open","High","Low","Vol.","Change %"
"02/16/2022","149.90","150.02","150.05","149.89","24.08K","-0.10%"
"02/15/2022","150.05","150.06","150.17","149.91","29.09K","-0.01%"
"02/14/2022","150.06","150.07","150.29","149.94","37.80K","-0.03%"
"02/11/2022","150.11","149.97","150.17","149.97","","0.03%"
"02/10/2022","150.07","150.18","150.24","150.02","28.50K","-0.09%"
"02/09/2022","150.20","150.16","150.21","150.02","34.26K","0.04%"
"02/08/2022","150.14","150.33","150.37","150.12","26.43K","-0.12%"
"02/07/2022","150.32","150.36","150.44","150.11","33.42K","-0.01%"
"02/04/2022","150.34","150.67","150.68","150.27","41.03K","-0.21%"
"02/03/2022","150.66","150.66","150.76","150.58","30.40K","0.01%"
"02/02/2022","150.65","150.54","150.74","150.52","29.16K","0.05%"
"02/01/2022","150.57","150.70","150.75","150.53","36.86K","-0.10%"
"01/31/2022","150.72","150.77","150.80","150.59","33.22K","-0.03%"
"01/28/2022","150.77","150.76","150.86","150.72","22.62K","0.01%"
"01/27/2022","150.75","150.96","150.99","150.73","28.44K","-0.14%"
"01/26/2022","150.96","150.97","150.99","150.89","22.31K","0.00%"
"01/25/2022","150.96","150.95","151.04","150.93","26.46K","0.02%"
"01/24/2022","150.93","150.96","151.07","150.91","17.42K","-0.03%"
"01/21/2022","150.97","150.85","151.09","150.81","34.17K","0.09%"
"01/20/2022","150.84","150.95","150.99","150.81","30.15K","-0.05%"
"01/19/2022","150.92","150.74","150.96","150.72","30.81K","0.12%"
"01/18/2022","150.74","150.85","150.95","150.68","32.78K","-0.06%"
"01/17/2022","150.83","150.82","150.90","150.73","29.05K","0.02%"
"01/14/2022","150.80","151.04","151.13","150.64","50.95K","-0.17%"
"01/13/2022","151.06","151.04","151.09","150.91","32.91K","0.01%"
"01/12/2022","151.05","150.79","151.08","150.70","43.27K","0.19%"
"01/11/2022","150.76","151.00","151.04","150.71","49.96K","-0.14%"
"01/10/2022","150.97","150.77","150.97","150.76","","0.13%"
"01/09/2022","150.77","150.84","150.84","150.75","","-0.13%"
"01/07/2022","150.97","151.12","151.19","150.97","36.92K","-0.10%"
"01/06/2022","151.12","151.43","151.44","151.12","45.76K","-0.20%"
"01/05/2022","151.42","151.43","151.47","151.34","36.97K","-0.01%"
"01/04/2022","151.43","151.61","151.69","151.40","30.03K","-0.03%"
"01/03/2022","151.47","151.68","151.78","151.43","","-0.13%"
"01/02/2022","151.66","151.66","151.66","151.66","","-0.02%"
"12/31/2021","151.69","151.66","151.72","151.61","","0.07%"
"12/30/2021","151.59","151.85","151.88","151.59","27.42K","-0.17%"
"12/29/2021","151.85","151.84","151.90","151.83","12.20K","0.00%"
"12/28/2021","151.85","151.89","151.95","151.83","10.77K","-0.02%"
"12/27/2021","151.88","151.83","151.90","151.81","8.03K","0.03%"
"12/24/2021","151.83","151.85","151.89","151.81","12.57K","-0.03%"
"12/23/2021","151.87","151.93","151.95","151.84","20.51K","-0.02%"
"12/22/2021","151.90","152.07","152.08","151.85","25.50K","-0.12%"
"12/21/2021","152.08","152.24","152.26","152.07","21.38K","-0.11%"
"12/20/2021","152.24","152.12","152.25","152.05","17.80K","0.09%"
"12/17/2021","152.11","152.12","152.20","152.09","21.58K","-0.01%"
"12/16/2021","152.12","152.07","152.14","151.98","23.67K","0.03%"
"12/15/2021","152.07","152.01","152.09","151.97","21.90K","0.03%"
"12/14/2021","152.02","151.95","152.11","151.95","20.86K","0.05%"
"12/13/2021","151.95","151.92","152.03","151.90","2.08K","0.01%"
"12/10/2021","151.93","152.02","152.13","151.93","7.32K","-0.07%"
"12/09/2021","152.03","152.09","152.16","151.96","22.49K","-0.03%"
"12/08/2021","152.07","151.99","152.11","151.96","24.94K","0.02%"
"12/07/2021","152.04","152.26","152.27","152.01","35.16K","-0.14%"
"12/06/2021","152.25","152.12","152.26","152.07","28.60K","0.09%"
"12/03/2021","152.11","151.97","152.12","151.92","33.26K","0.09%"
"12/02/2021","151.97","151.87","152.03","151.82","38.95K","0.06%"
"12/01/2021","151.88","151.94","152.04","151.81","36.48K","-0.04%"
"11/30/2021","151.94","151.77","151.95","151.70","35.86K","0.13%"
"11/29/2021","151.74","151.71","151.84","151.69","32.73K","0.01%"
"11/26/2021","151.72","151.53","151.72","151.51","23.96K","0.12%"
"11/25/2021","151.54","151.57","151.62","151.44","31.85K","-0.03%"
"11/24/2021","151.58","151.66","151.73","151.50","29.00K","0.01%"
"11/23/2021","151.56","151.57","151.57","151.43","","-0.09%"
"11/22/2021","151.69","151.61","151.77","151.55","21.24K","0.05%"
"11/19/2021","151.62","151.54","151.66","151.53","27.72K","0.06%"
"11/18/2021","151.53","151.62","151.73","151.44","41.54K","-0.06%"
"11/17/2021","151.62","151.64","151.69","151.59","23.60K","-0.03%"
"11/16/2021","151.66","151.77","151.83","151.61","30.65K","-0.07%"
"11/15/2021","151.77","151.64","151.77","151.53","24.11K","0.08%"
"11/12/2021","151.65","151.79","151.79","151.61","24.94K","-0.09%"
"11/11/2021","151.79","151.90","151.94","151.71","30.49K","-0.09%"
"11/10/2021","151.92","151.87","151.97","151.83","22.41K","0.03%"
"11/09/2021","151.87","151.84","151.91","151.78","29.90K","0.01%"
"11/08/2021","151.85","151.85","151.97","151.79","28.82K","0.01%"
"11/05/2021","151.83","151.62","151.84","151.61","32.21K","0.15%"
"11/04/2021","151.60","151.54","151.71","151.52","28.86K","0.01%"
"11/03/2021","151.59","151.74","151.81","151.54","","0.02%"
"11/02/2021","151.56","151.46","151.58","151.37","30.00K","0.05%"
"11/01/2021","151.48","151.34","151.48","151.19","38.41K","0.11%"
"10/29/2021","151.32","151.40","151.42","151.27","34.77K","-0.05%"
"10/28/2021","151.39","151.28","151.47","151.23","35.81K","0.10%"
"10/27/2021","151.24","151.17","151.24","151.07","35.93K","0.07%"
"10/26/2021","151.13","151.22","151.24","151.12","27.99K","-0.07%"
"10/25/2021","151.23","151.31","151.33","151.20","27.15K","-0.05%"
"10/22/2021","151.30","151.37","151.39","151.20","25.66K","-0.05%"
"10/21/2021","151.37","151.31","151.40","151.29","25.16K","0.03%"
"10/20/2021","151.32","151.35","151.42","151.20","34.86K","-0.01%"
"10/19/2021","151.34","151.28","151.36","151.24","24.53K","0.04%"
"10/18/2021","151.28","151.46","151.46","151.26","24.43K","-0.11%"
"10/15/2021","151.45","151.36","151.50","151.35","30.66K","0.05%"
